id,sq_mt_built,n_rooms,n_bathrooms,buy_price,buy_price_by_area,district
21329,92,3,1,119000,1293,Villaverde
21328,106,3,1,145000,1368,San Andrés
21327,67,2,1,115000,1716,Los Ángeles
21326,60,2,1,150000,2500,San Andrés
21325,71,2,1,202000,2845,Los Rosales
21324,48,1,1,144000,3000,Los Rosales
21323,60,2,1,120000,2000,San Andrés
21322,60,3,1,105000,1750,San Cristóbal
21321,61,3,1,108000,1770,Los Ángeles
21320,115,3,1,147000,1278,San Andrés
21319,55,2,1,95000,1727,San Andrés
21318,65,3,1,99500,1531,Los Rosales
21317,118,3,2,179000,1517,San Andrés
21316,54,3,1,91958,1703,Los Rosales
21315,80,3,1,100000,1250,San Andrés
21314,147,4,2,340000,2313,Butarque
21313,81,3,1,139500,1722,Los Rosales
21312,108,4,2,156000,1444,Los Ángeles
21311,133,4,2,280000,2105,Los Rosales
21310,90,3,2,139000,1544,San Cristóbal
21309,63,2,1,102000,1619,San Cristóbal
21308,95,2,1,154500,1626,San Andrés
21307,76,2,1,109492,1441,San Cristóbal
21306,115,3,1,148000,1287,San Andrés
21305,70,3,1,95000,1357,San Cristóbal
21304,71,3,1,100000,1408,San Cristóbal
21303,70,3,1,97000,1386,San Cristóbal
21302,100,3,2,179000,1790,Los Rosales
21301,63,3,1,119000,1889,San Cristóbal
21300,60,2,1,95000,1583,San Andrés
21299,105,3,2,260000,2476,Los Ángeles
21298,93,2,2,210000,2258,San Andrés
21297,80,2,2,250000,3125,Butarque
21296,54,2,1,148000,2741,Los Ángeles
21295,64,2,1,99000,1547,Villaverde
21294,68,3,1,88000,1294,San Cristóbal
21293,75,3,1,120000,1600,Villaverde
21292,100,3,2,299995,3000,Villaverde
21291,62,2,2,148000,2387,San Andrés
21290,78,3,1,127000,1628,Villaverde
21289,83,3,1,155000,1867,San Andrés
21288,68,3,1,97000,1426,Villaverde
21287,76,3,1,108000,1421,Los Ángeles
21286,66,2,1,95000,1439,Villaverde
21285,65,3,1,110000,1692,San Andrés
21284,65,2,1,125000,1923,Los Ángeles
21283,70,2,2,196000,2800,Los Rosales
21282,49,2,1,120000,2449,San Andrés
21281,100,3,2,210000,2100,Los Rosales
21280,90,4,2,230000,2556,Los Rosales
21279,65,3,1,107583,1655,San Andrés
21278,68,2,1,120000,1765,San Cristóbal
21277,90,3,1,140000,1556,San Andrés
21276,55,2,1,135000,2455,Los Ángeles
21275,70,2,1,126000,1800,San Andrés
21274,123,4,2,220000,1789,San Andrés
21273,74,2,2,198000,2676,Los Rosales
21272,64,2,1,150000,2344,Los Ángeles
21271,80,3,2,160000,2000,San Andrés
21270,113,3,2,359900,3185,Los Rosales
21269,89,3,2,174000,1955,San Andrés
21268,109,3,1,185000,1697,San Andrés
21267,120,3,1,180000,1500,San Andrés
21266,101,2,2,245000,2426,San Andrés
21265,75,2,1,146000,1947,Villaverde
21264,52,2,1,85000,1635,Los Rosales
21263,75,3,1,139900,1865,Los Rosales
21262,75,3,1,113000,1507,Los Ángeles
21261,30,1,1,72000,2400,Villaverde
21260,54,3,1,91957,1703,Los Rosales
21259,65,3,1,109900,1691,San Andrés
21258,65,2,1,105000,1615,San Andrés
21257,60,2,1,70000,1167,San Cristóbal
21256,69,2,1,132000,1913,San Andrés
21255,65,3,1,120000,1846,San Cristóbal
21254,90,3,1,159000,1767,San Andrés
21253,100,3,2,230000,2300,San Andrés
21252,62,2,1,93000,1500,San Cristóbal
21251,83,3,2,99900,1204,San Cristóbal
21250,81,3,1,116100,1433,Butarque
21249,65,3,1,120000,1846,San Cristóbal
21248,60,2,1,138000,2300,San Andrés
21247,83,3,1,116675,1406,Los Rosales
21246,76,2,1,109491,1441,San Cristóbal
21245,95,4,1,138000,1453,Villaverde
21244,80,2,2,250000,3125,Butarque
21243,88,2,2,304000,3455,San Andrés
21242,67,3,1,150000,2239,San Andrés
21241,90,3,1,208000,2311,Los Ángeles
21240,75,3,1,114900,1532,Villaverde
21239,89,3,1,139000,1562,Los Rosales
21238,66,2,1,116600,1767,Villaverde
21237,94,3,1,207000,2202,Villaverde
21236,85,2,2,180000,2118,Villaverde
21235,68,2,1,207000,3044,Butarque
21234,105,3,2,182260,1736,Los Rosales
21233,85,3,1,159000,1871,Los Rosales
21232,88,3,1,116000,1318,San Andrés
21231,160,2,1,260000,1625,San Andrés
21230,60,2,1,99000,1650,San Andrés
21229,90,3,2,172000,1911,San Andrés
21228,88,3,1,132260,1503,San Andrés
21227,53,1,1,144000,2717,Los Rosales
21226,89,3,2,235000,2640,Butarque
21225,119,3,2,269000,2261,Butarque
21224,65,3,1,97000,1492,San Andrés
21223,120,4,2,173000,1442,San Cristóbal
21222,85,3,1,140200,1649,Butarque
21221,110,2,2,225000,2045,Butarque
21220,116,3,2,295000,2543,Los Rosales
21219,80,3,1,135000,1688,San Andrés
21218,115,3,2,275000,2391,Butarque
21217,114,4,2,257000,2254,San Andrés
21216,95,4,1,175000,1842,Los Ángeles
21215,110,3,2,274999,2500,Butarque
21214,70,2,1,146750,2096,San Andrés
21213,86,2,2,218000,2535,Butarque
21212,100,3,2,285000,2850,Los Rosales
21211,274,8,3,495000,1807,Los Rosales
21210,124,3,2,260000,2097,San Andrés
21209,60,3,1,84900,1415,Villaverde
21208,62,3,1,108000,1742,San Cristóbal
21207,118,3,2,224000,1898,Villaverde
21206,92,2,2,154500,1679,San Andrés
21205,78,3,1,116050,1488,San Andrés
21204,70,3,1,129990,1857,Villaverde
21203,77,3,1,122000,1584,San Andrés
21202,89,2,2,144801,1627,Villaverde
21201,92,3,1,147000,1598,Los Rosales
21199,66,3,1,88000,1333,San Cristóbal
21198,80,3,1,99000,1238,Villaverde
21197,98,3,2,219000,2235,Villaverde
21196,64,2,1,149999,2344,San Andrés
21195,98,3,2,219000,2235,Villaverde
21194,54,2,1,96600,1789,San Andrés
21193,62,2,1,111113,1792,Los Ángeles
21192,103,3,1,159000,1544,San Andrés
